ID,FORENAME,SURNAME,GENDER,YEAR
2260,Inger,Söderberg,female,1973
2261,Annika,Mohamed,female,1965
2262,Torbjörn,Ström,male,1989
2263,Gun,Ekström,female,1988
2264,Birgitta,Olofsson,female,1972
2265,Ludvig,Berg,male,2012
2266,Ella,Berglund,female,1981
2267,Rut,Hedlund,female,2006
2268,Josefin,Gustafsson,female,1961
2269,Edvin,Löfgren,male,1986
2270,Robert,Eklund,male,1971
2271,Frida,Pettersson,female,1977
2272,Robert,Karlsson,male,2014
2273,Linus,Blomqvist,male,1999
2274,Isak,Hassan,male,1952
2275,Per,Arvidsson,male,1972
2276,Rasmus,Jonsson,male,2003
2277,Axel,Lindholm,male,1952
2278,Lovisa,Lindgren,female,1952
2279,Joakim,Eliasson,male,1968
2280,Fredrik,Berglund,male,1959
2281,Anneli,Fransson,female,1988
2282,Margareta,Hellström,female,1966
2283,Alexandra,Nordström,female,1968
2284,Lina,Jönsson,female,2006
2285,Jessica,Ali,female,1963
2286,Louise,Björklund,female,1968
2287,Johanna,Blom,female,1978
2288,Lisa,Sjögren,female,1960
2289,Peter,Olofsson,male,2013
2290,Ingrid,Lundin,female,2015
2291,Eva,Björklund,female,2008
2292,Jörgen,Falk,male,1965
2293,Pia,Gunnarsson,female,1992
2294,Birgit,Gunnarsson,female,1951
2295,Agneta,Jansson,female,1996
2296,Olivia,Ekström,female,2006
2297,Kerstin,Lund,female,2013
2298,Viktor,Persson,male,1964
2299,Andreas,Viklund,male,1988
2300,Britt-Marie,Gustafsson,female,1968
2301,Malin,Nordström,female,2008
2302,Stig,Ström,male,1997
2303,Johanna,Arvidsson,female,1980
2304,Sebastian,Samuelsson,male,1996
2305,Alice,Henriksson,female,1998
2306,Max,Nordström,male,1951
2307,Rebecca,Lindgren,female,2006
2308,Tobias,Jönsson,male,2017
2309,Elias,Abrahamsson,male,2018
2310,Viktor,Sjögren,male,1997
2311,Erika,Karlsson,female,1987
2312,Linus,Jonsson,male,1983
2313,Marianne,Forsberg,female,1962
2314,Britt,Gustafsson,female,2017
2315,Frida,Martinsson,female,1957
2316,Agnes,Forsberg,female,1970
2317,Gunnel,Magnusson,female,1970
2318,Elin,Andersson,female,1993
2319,Ulla,Axelsson,female,1976
2320,Hans,Dahlberg,male,1981
2321,Sofia,Hansson,female,1969
2322,Alice,Lindström,female,2016
2323,Barbro,Lindberg,female,1999
2324,Kevin,Mårtensson,male,1978
2325,Hanna,Åkesson,female,1969
2326,Birgitta,Åberg,female,1966
2327,Jan,Söderberg,male,1999
2328,Rickard,Lindberg,male,1993
2329,Linda,Mårtensson,female,1961
2330,Alva,Blomqvist,female,1978
2331,Frida,Åberg,female,1978
2332,Rebecca,Öberg,female,1991
2333,Magnus,Nordström,male,2005
2334,Karl,Sandström,male,1965
2335,Hans,Lindgren,male,1962
2336,Erika,Mattsson,female,2020
2337,Christoffer,Löfgren,male,1994
2338,Stefan,Bergqvist,male,1966
2339,Katarina,Wikström,female,2011
2340,Elias,Lindberg,male,2018
2341,Alexandra,Lundqvist,female,1953
2342,Tobias,Forsberg,male,1979
2343,Helen,Pålsson,female,1954
2344,John,Sandström,male,1957
2345,Ellen,Norberg,female,1953
2346,Lars,Nyberg,male,1991
2347,Alice,Eliasson,female,1970
2348,Pernilla,Falk,female,2007
2349,Barbro,Eklund,female,1994
2350,Fredrik,Engström,male,2004
2351,Rebecca,Jönsson,female,2011
2352,Monica,Persson,female,1992
2353,Sara,Månsson,female,2019
2354,Anders,Andreasson,male,1995
2355,Annika,Hermansson,female,1988
2356,Bengt,Lundgren,male,1967
2357,Rickard,Lund,male,2014
2358,Elin,Gustafsson,female,1963
2359,Simon,Viklund,male,1952
2360,Kenneth,Viklund,male,2014
2361,Anton,Bergqvist,male,2015
2362,Britt,Björk,female,1989
2363,Filip,Olsson,male,1951
2364,Erik,Hansen,male,2005
2365,Olivia,Forsberg,female,1971
2366,Birgit,Engström,female,2009
2367,Sara,Ström,female,1993
2368,Helena,Mattsson,female,2001
2369,Sandra,Isaksson,female,1976
2370,Kjell,Martinsson,male,1974
2371,Lena,Björklund,female,1972
2372,Cecilia,Nordin,female,2010
2373,Astrid,Jonasson,female,2005
2374,Jonathan,Björk,male,1986
2375,Pia,Lindqvist,female,2014
2376,Bo,Wallin,male,1986
2377,Erik,Nyberg,male,2014
2378,Björn,Jakobsson,male,2004
2379,Sebastian,Berg,male,2014
2380,Linda,Lundberg,female,2000
2381,Åke,Söderberg,male,2015
2382,Anna,Olsson,female,1974
2383,Axel,Lindqvist,male,1972
2384,Britt-Marie,Blomqvist,female,1974
2385,Emelie,Eklund,female,1957
2386,Robin,Jakobsson,male,2020
2387,Torbjörn,Henriksson,male,1989
2388,Olle,Mattsson,male,1971
2389,Inger,Larsson,female,1987
2390,Lovisa,Sjögren,female,2020
2391,Astrid,Björklund,female,1972
2392,Malin,Lindgren,female,1986
2393,Jonas,Karlsson,male,1975
2394,Moa,Ahmed,female,2001
2395,Birgit,Lundgren,female,1970
2396,Anna,Wikström,female,1980
2397,Lisa,Lindholm,female,1963
2398,Britt-Marie,Axelsson,female,2018
2399,Isak,Larsson,male,1951
2400,Max,Löfgren,male,1955
2401,Roger,Lundin,male,1996
2402,Anders,Lindholm,male,2002
2403,Linda,Abrahamsson,female,1986
2404,Ellen,Olofsson,female,1992
2405,Max,Holmberg,male,1996
2406,Nina,Fransson,female,2006
2407,Katarina,Fredriksson,female,1982
2408,Anneli,Olsson,female,1956
2409,Oliver,Magnusson,male,2018
2410,Charlotte,Björk,female,2005
2411,Katarina,Håkansson,female,1959
2412,Jörgen,Lindqvist,male,1977
2413,Emil,Eriksson,male,1990
2414,Fredrik,Claesson,male,1999
2415,Jonathan,Isaksson,male,1998
2416,Christer,Gustafsson,male,1985
2417,David,Björk,male,2000
2418,Sara,Håkansson,female,1960
2419,Katarina,Claesson,female,1958
2420,Marianne,Sundberg,female,1988
2421,Kevin,Lindström,male,1987
2422,Albin,Danielsson,male,1999
2423,Anders,Lindgren,male,1974
2424,Rolf,Olsson,male,2002
2425,Ebba,Björklund,female,2008
2426,Johanna,Hedlund,female,1970
2427,Sebastian,Axelsson,male,1998
2428,Birgit,Håkansson,female,1956
2429,Jessica,Larsson,female,1972
2430,Inger,Nyberg,female,1999
2431,Leif,Danielsson,male,1991
2432,Erik,Fransson,male,1970
2433,Cecilia,Hassan,female,2001
2434,Wilma,Jakobsson,female,1951
2435,Emma,Olsson,female,2009
2436,Lars,Henriksson,male,1994
2437,Lucas,Fransson,male,1986
2438,Nathalie,Jakobsson,female,1952
2439,Maja,Hermansson,female,1996
2440,Bengt,Persson,male,1956
2441,Sara,Falk,female,1981
2442,Lisbeth,Lund,female,1954
2443,Eva,Jonsson,female,1977
2444,Kurt,Svensson,male,2006
2445,Viktoria,Fransson,female,1960
2446,Pernilla,Mohamed,female,2011
2447,Gun,Lindström,female,2001
2448,Caroline,Lindqvist,female,1960
2449,Lisbeth,Ek,female,2000
2450,Thomas,Sundberg,male,1986
2451,Sebastian,Öberg,male,1990
2452,Isabelle,Berg,female,1989
2453,Filip,Öberg,male,1998
2454,Moa,Mattsson,female,1954
2455,Margareta,Forsberg,female,1970
2456,Sofie,Mattsson,female,2011
2457,Maja,Jönsson,female,1961
2458,Lars,Nyström,male,1988
2459,Leif,Lindström,male,2013
2460,Samuel,Jönsson,male,1965
2461,Yvonne,Lund,female,1997
2462,Emelie,Holmberg,female,1965
2463,Britt-Marie,Ekström,female,1972
2464,Jakob,Gustafsson,male,1961
2465,Dan,Gunnarsson,male,1994
2466,Maria,Hermansson,female,1961
2467,Rasmus,Andreasson,male,1995
2468,Marianne,Löfgren,female,2003
2469,Siv,Hermansson,female,1982
2470,Albin,Löfgren,male,1952
2471,Viktor,Eklund,male,1960
2472,Jesper,Eklund,male,1988
2473,Gunnar,Larsson,male,2013
2474,Alexander,Sandström,male,2017
2475,Mohamed,Eriksson,male,1957
2476,Moa,Eriksson,female,2005
2477,Yvonne,Åkesson,female,1962
2478,Stig,Olsson,male,2019
2479,Inger,Nordström,female,1955
2480,Josefin,Engström,female,2002
2481,Emelie,Hansson,female,1992
2482,Kenneth,Nordin,male,1991
2483,Joakim,Ekström,male,2020
2484,Sofia,Blomqvist,female,2020
2485,Berit,Blom,female,1977
2486,Dennis,Andreasson,male,1997
2487,Christian,Lindberg,male,2010
2488,Helen,Jakobsson,female,2016
2489,Therese,Håkansson,female,2001
2490,Emilia,Abrahamsson,female,1984
2491,Anton,Blomqvist,male,1985
2492,Karin,Söderberg,female,1959
2493,Samuel,Svensson,male,1977
2494,David,Holmgren,male,1999
2495,Hans,Blom,male,1955
2496,Åke,Fredriksson,male,1974
2497,Tobias,Hedlund,male,1954
2498,Jonathan,Danielsson,male,1955
2499,Nils,Hansen,male,1977
2500,Ulrika,Hassan,female,2015
2501,Rolf,Wallin,male,1994
2502,Ella,Samuelsson,female,2002
2503,Joakim,Jonsson,male,1995
2504,Arne,Berg,male,1970
2505,Elsa,Gustafsson,female,1954
2506,Helen,Danielsson,female,1957
2507,Eva,Sandström,female,2013
2508,Edvin,Lund,male,2007
2509,Elias,Samuelsson,male,1997
2510,Agneta,Axelsson,female,2020
2511,Klara,Lundin,female,1973
2512,Erik,Axelsson,male,1992
2513,Robin,Samuelsson,male,1980
2514,Marcus,Axelsson,male,2017
2515,Jakob,Lundqvist,male,2006
2516,Mona,Danielsson,female,1956
2517,Monica,Holmgren,female,1993
2518,Gun,Åberg,female,2002
2519,Nina,Pålsson,female,1987
2520,Arne,Svensson,male,2011
2521,Lina,Samuelsson,female,1981
2522,Jonathan,Ek,male,1972
2523,Roger,Engström,male,1993
2524,Filip,Nordström,male,1986
2525,Charlotte,Sjöberg,female,1987
2526,Stig,Dahlberg,male,2007
2527,Jonas,Hermansson,male,1991
2528,Jenny,Lundgren,female,1952
2529,Simon,Björklund,male,1955
2530,Lennart,Sjögren,male,1967
2531,Leo,Lund,male,2020
2532,Klara,Lundgren,female,2007
2533,Helena,Hansson,female,1981
2534,Rolf,Fransson,male,1973
2535,Matilda,Åberg,female,1968
2536,Albin,Olsson,male,1987
2537,Margareta,Wikström,female,1992
2538,Adam,Lindström,male,1976
2539,Ulrika,Martinsson,female,1960
2540,Jenny,Johansson,female,2007
2541,Henrik,Gunnarsson,male,2008
2542,Jonas,Björk,male,1999
2543,John,Eriksson,male,1958
2544,Leif,Dahl,male,1974
2545,Sofie,Isaksson,female,1985
2546,Tobias,Wallin,male,1979
2547,Åke,Dahl,male,1991
2548,Åke,Ek,male,1983
2549,Ella,Berg,female,1984
2550,Jesper,Holmberg,male,1975
2551,Linus,Öberg,male,2018
2552,Rasmus,Danielsson,male,1982
2553,Pontus,Persson,male,1974
2554,Gustav,Dahlberg,male,1987
2555,Kristina,Engström,female,1976
2556,Moa,Björk,female,1952
2557,Bengt,Henriksson,male,1963
2558,Stefan,Norberg,male,2004
2559,Samuel,Bergqvist,male,1993
2560,Maria,Hellström,female,2019
2561,Ulrika,Lundqvist,female,1985
2562,Felicia,Eriksson,female,1968
2563,Carina,Berglund,female,1989
2564,Barbro,Löfgren,female,2019
2565,Ingrid,Bergqvist,female,1969
2566,Emelie,Hansen,female,2017
2567,Lisbeth,Johansson,female,1972
2568,Ella,Ek,female,2005
2569,Gunnar,Isaksson,male,1955
2570,Sven,Magnusson,male,1984
2571,Moa,Mohamed,female,2008
2572,Birgit,Berg,female,2012
2573,Mohamed,Hansson,male,2005
2574,Magnus,Eliasson,male,1975
2575,Maria,Gunnarsson,female,2013
2576,Felix,Månsson,male,1985
2577,Erik,Bergman,male,1970
2578,Claes,Johansson,male,1976
2579,Isabelle,Sjöberg,female,1981
2580,Kjell,Axelsson,male,1989
2581,Emilia,Hassan,female,1984
2582,Anneli,Ek,female,2013
2583,Karl,Björklund,male,1994
2584,Anna,Ahmed,female,1954
2585,Christoffer,Lindström,male,1972
2586,Mona,Fransson,female,1974
2587,Eva,Löfgren,female,1953
2588,Sofia,Lundqvist,female,2014
2589,Alexander,Berglund,male,2020
2590,Elisabeth,Åkesson,female,1950
2591,Barbro,Henriksson,female,1985
2592,Helena,Claesson,female,1972
2593,Jonathan,Lundqvist,male,2007
2594,Åke,Axelsson,male,1956
2595,Gustav,Johansson,male,1951
2596,Pontus,Forsberg,male,2015
2597,Lena,Mohamed,female,1971
2598,Kevin,Åkesson,male,1970
2599,Rut,Sundberg,female,1956
2600,Filip,Hassan,male,1970
2601,Viktoria,Söderberg,female,2015
2602,Fredrik,Lindholm,male,2001
2603,Anton,Olsson,male,1953
2604,Fredrik,Blom,male,2008
2605,Olivia,Blomqvist,female,1961
2606,Torbjörn,Eliasson,male,2012
2607,Göran,Hansen,male,2007
2608,Wilma,Abrahamsson,female,1965
2609,Henrik,Dahlberg,male,1997
2610,Ulrika,Björklund,female,1951
2611,Dennis,Gustafsson,male,1992
2612,Rolf,Eliasson,male,2014
2613,Edvin,Dahlberg,male,1951
2614,Erik,Ali,male,2007
2615,Marianne,Persson,female,2015
2616,Edvin,Holmberg,male,1989
2617,Christoffer,Blom,male,1993
2618,Sara,Söderberg,female,1972
2619,Viktoria,Eliasson,female,2013
2620,Alexander,Fredriksson,male,1968
2621,Agnes,Sandström,female,1956
2622,Gunilla,Bengtsson,female,1972
2623,Leo,Lindholm,male,2007
2624,Lisbeth,Samuelsson,female,1966
2625,Pontus,Jönsson,male,1987
2626,Jimmy,Bergqvist,male,1996
2627,Marianne,Ekström,female,1958
2628,Matilda,Hedlund,female,1950
2629,Ebba,Öberg,female,2017
2630,Alexandra,Holm,female,2001
2631,Wilma,Fredriksson,female,2006
2632,Monica,Lindqvist,female,2009
2633,Ella,Bengtsson,female,2017
2634,Robert,Blom,male,1958
2635,Gunnel,Wallin,female,2015
2636,Inger,Arvidsson,female,1966
2637,Gunnar,Lindberg,male,2020
2638,Rut,Falk,female,1953
2639,Jonathan,Ström,male,1984
2640,Arne,Forsberg,male,1955
2641,Tommy,Björklund,male,1951
2642,Gunnel,Björk,female,1985
2643,Anneli,Bergqvist,female,2008
2644,Mikael,Jonasson,male,1998
2645,Daniel,Danielsson,male,2002
2646,Ellen,Sundberg,female,1976
2647,Annika,Dahlberg,female,1975
2648,Jesper,Lind,male,1993
2649,Olivia,Lindberg,female,1951
2650,Roger,Isaksson,male,1969
2651,Gustav,Lund,male,1958
2652,Åsa,Holmberg,female,2018
2653,Ingrid,Axelsson,female,2003
2654,Marie,Danielsson,female,1956
2655,Arne,Lindström,male,2012
2656,Jessica,Bengtsson,female,1991
2657,Linnéa,Nordin,female,2015
2658,Leo,Wallin,male,1982
2659,Samuel,Blomqvist,male,1989
2660,Karl,Björk,male,2014
2661,Pontus,Månsson,male,1972
2662,Pontus,Eklund,male,2017
2663,Josef,Berggren,male,2015
2664,Sara,Björk,female,2015
2665,Barbro,Samuelsson,female,2000
2666,Agneta,Åkesson,female,1966
2667,John,Åberg,male,1978
2668,Ellen,Sandström,female,2013
2669,Linda,Ali,female,1958
2670,Simon,Hansen,male,1970
2671,Mattias,Norberg,male,1960
2672,Edvin,Hansen,male,1965
2673,Daniel,Söderberg,male,1973
2674,Håkan,Blomqvist,male,1956
2675,Emelie,Nilsson,female,1952
2676,Olof,Berggren,male,1955
2677,Margareta,Dahlberg,female,2015
2678,Olof,Mohamed,male,1977
2679,Susanne,Norberg,female,1984
2680,Madeleine,Pålsson,female,2010
2681,Elsa,Björk,female,2014
2682,Sofia,Eriksson,female,2019
2683,Berit,Ali,female,1958
2684,Johnny,Ekström,male,1991
2685,Louise,Olsson,female,2012
2686,Anton,Hellström,male,1974
2687,Axel,Henriksson,male,2001
2688,Gun,Wallin,female,1999
2689,Claes,Lundberg,male,1988
2690,Kerstin,Arvidsson,female,1996
2691,Rebecca,Dahl,female,1968
2692,Håkan,Månsson,male,1992
2693,Anders,Dahlberg,male,2013
2694,Alva,Jakobsson,female,1964
2695,Kevin,Lundqvist,male,1996
2696,Fredrik,Danielsson,male,1950
2697,Joel,Nordström,male,1954
2698,Viktor,Mattsson,male,1976
2699,Linda,Claesson,female,2003
2700,Adam,Mohamed,male,1994
2701,Jessica,Bergqvist,female,1957
2702,Rasmus,Gustafsson,male,1981
2703,Agnes,Viklund,female,2009
2704,Ann,Sundberg,female,1962
2705,Nathalie,Holmgren,female,1999
2706,Per,Jonasson,male,1990
2707,Anton,Strömberg,male,2018
2708,Felicia,Magnusson,female,2003
2709,Rolf,Sandström,male,1972
2710,Johnny,Eliasson,male,2012
2711,Annika,Samuelsson,female,2000
2712,Sven,Bergström,male,1983
2713,David,Sandberg,male,1950
2714,Gun,Lund,female,2001
2715,Eva,Åberg,female,1985
2716,Erika,Claesson,female,1955
2717,Andreas,Åkesson,male,1974
2718,Sandra,Hedlund,female,2016
2719,Emil,Bergström,male,1979
2720,Mohamed,Mattsson,male,1976
2721,Peter,Ek,male,2016
2722,Kent,Samuelsson,male,1982
2723,Britt,Mohamed,female,1984
2724,Torbjörn,Magnusson,male,2015
2725,Hanna,Ekström,female,1971
2726,Peter,Norberg,male,2005
2727,Ali,Bergqvist,male,1956
2728,Leo,Nyberg,male,2011
2729,Johnny,Söderberg,male,1983
2730,Ebba,Jansson,female,2014
2731,Ulla,Berglund,female,1999
2732,Erik,Dahl,male,2019
2733,John,Lundström,male,2017
2734,Mats,Lindström,male,1957
2735,Lina,Andreasson,female,1987
2736,Therese,Gunnarsson,female,1950
2737,Thomas,Engström,male,1997
2738,Rickard,Persson,male,1984
2739,Claes,Pålsson,male,1951
2740,Josef,Lind,male,2013
2741,Wilma,Jonasson,female,2003
2742,Lars,Björk,male,1965
2743,Lena,Sjöberg,female,1979
2744,Annika,Lindgren,female,1950
2745,Adam,Ström,male,1964
2746,Alexander,Eliasson,male,1996
2747,Monica,Eriksson,female,1973
2748,Nathalie,Håkansson,female,1952
2749,Felicia,Engström,female,2005
2750,Joel,Mårtensson,male,1986
2751,Alice,Björklund,female,1998
2752,Alice,Hansen,female,1986
2753,Nils,Åkesson,male,1976
2754,Åsa,Viklund,female,2020
2755,Maja,Mohamed,female,1982
2756,Thomas,Nyström,male,1978
2757,Frida,Jonsson,female,1959
2758,Christer,Falk,male,2004
2759,Viktoria,Mohamed,female,1972
2760,Liam,Holmgren,male,1994
2761,Kent,Blomqvist,male,1977
2762,Ida,Ekström,female,1978
2763,Katarina,Olsson,female,1992
2764,Pontus,Blom,male,1975
2765,Lucas,Lundin,male,2013
2766,Alexandra,Magnusson,female,1980
2767,Margareta,Nilsson,female,1961
2768,Martin,Sjöberg,male,1953
2769,Marie,Hansson,female,2020
2770,Kjell,Viklund,male,1950
2771,Lina,Jansson,female,1974
2772,Berit,Lundqvist,female,2001
2773,Anton,Falk,male,1985
2774,Jonathan,Håkansson,male,1971
2775,Pontus,Jonasson,male,1962
2776,Matilda,Hermansson,female,1995
2777,Kjell,Lindström,male,1976
2778,Monica,Forsberg,female,2016
2779,Kenneth,Ahmed,male,1993
2780,Carina,Hellström,female,1958
2781,Ludvig,Johansson,male,1965
2782,Niklas,Ek,male,1958
2783,Gunnel,Mohamed,female,1961
2784,Agnes,Lundström,female,1999
2785,Kevin,Lindberg,male,1988
2786,Arne,Åberg,male,1959
2787,Jessica,Sjögren,female,2003
2788,Agnes,Abrahamsson,female,2013
2789,Britt,Jönsson,female,1994
2790,Lennart,Lindström,male,1967
2791,Birgitta,Öberg,female,1998
2792,Nils,Andreasson,male,1955
2793,Lisbeth,Claesson,female,1990
2794,Dan,Mohamed,male,1966
2795,Annika,Söderberg,female,2000
2796,Ella,Jakobsson,female,2005
2797,Oskar,Ali,male,1992
2798,Emelie,Ekström,female,2017
2799,Rolf,Nordström,male,1972
2800,Kevin,Karlsson,male,1981
2801,Johnny,Hedlund,male,1957
2802,Gunnar,Hermansson,male,1981
2803,Tommy,Isaksson,male,1951
2804,Nina,Söderberg,female,1966
2805,Björn,Öberg,male,1955
2806,Malin,Åberg,female,1976
2807,Margareta,Claesson,female,2005
2808,Johnny,Åkesson,male,2012
2809,Ingrid,Sjöberg,female,1985
2810,Sonja,Nyberg,female,2000
2811,Pontus,Öberg,male,1963
2812,Ingrid,Björklund,female,2011
2813,Tobias,Nordin,male,1981
2814,Amanda,Nordström,female,2011
2815,Kent,Ali,male,1981
2816,Ingrid,Olofsson,female,1994
2817,Thomas,Jakobsson,male,1974
2818,Lars,Björklund,male,2017
2819,Mona,Björk,female,1979
2820,Birgitta,Månsson,female,2003
2821,Anette,Hansen,female,1987
2822,Björn,Lund,male,1953
2823,Jakob,Nyström,male,1981
2824,Åke,Lund,male,1969
2825,Kristina,Mohamed,female,2006
2826,Malin,Löfgren,female,1964
2827,Jonas,Claesson,male,1967
2828,Emil,Jakobsson,male,2013
2829,Hans,Berggren,male,1983
2830,Dennis,Lindgren,male,1970
2831,Emelie,Nordström,female,1958
2832,Charlotte,Hassan,female,2016
2833,Helen,Andreasson,female,1995
2834,Elias,Sundberg,male,2000
2835,Christer,Lundin,male,1983
2836,Emil,Löfgren,male,1963
2837,Jonathan,Hansen,male,1965
2838,Ali,Norberg,male,1953
2839,Helen,Nordström,female,1967
2840,Hanna,Hassan,female,1995
2841,Albin,Holmgren,male,1988
2842,Olle,Håkansson,male,1999
2843,Barbro,Falk,female,1978
2844,Maria,Axelsson,female,1971
2845,Robin,Arvidsson,male,1981
2846,Per,Jakobsson,male,1977
2847,Anton,Mattsson,male,2016
2848,Felix,Forsberg,male,2001
2849,Sofie,Danielsson,female,1960
2850,Rickard,Bengtsson,male,1968
2851,Kurt,Jansson,male,1951
2852,Axel,Nyberg,male,1972
2853,Klara,Ali,female,2008
2854,Oskar,Henriksson,male,1999
2855,Linnéa,Dahlberg,female,2016
2856,Berit,Martinsson,female,1997
2857,Julia,Eklund,female,1997
2858,Therese,Holmberg,female,2014
2859,Mikael,Svensson,male,2020
2860,Joel,Jönsson,male,1961
2861,Roger,Forsberg,male,1992
2862,Jonathan,Eriksson,male,1963
2863,Alice,Björk,female,1991
2864,Isak,Strömberg,male,2007
2865,Sven,Jansson,male,1983
2866,Jimmy,Lindström,male,1973
2867,Viktor,Jansson,male,2018
2868,Wilma,Forsberg,female,1986
2869,Birgitta,Söderberg,female,1956
2870,Lovisa,Claesson,female,1977
2871,Karl,Ekström,male,1981
2872,Maja,Pettersson,female,1992
2873,Hans,Lindholm,male,2019
2874,Linda,Fredriksson,female,1971
2875,Emil,Hermansson,male,1975
2876,Andreas,Wallin,male,2006
2877,Hans,Jonsson,male,2002
2878,Leif,Holm,male,1950
2879,Ulrika,Jakobsson,female,1966
2880,Per,Wikström,male,2003
2881,Moa,Lindström,female,1960
2882,Ann-Christin,Fransson,female,1991
2883,Dennis,Lindholm,male,2015
2884,John,Lindström,male,1993
2885,Jan,Nordström,male,1963
2886,Amanda,Forsberg,female,2010
2887,Rolf,Blomqvist,male,2013
2888,Lars,Lindberg,male,1977
2889,Isabelle,Håkansson,female,1989
2890,Lovisa,Bergqvist,female,1976
2891,Nina,Abrahamsson,female,1990
2892,Christoffer,Nordström,male,2004
2893,Mona,Svensson,female,1976
2894,Anette,Sandström,female,1971
2895,Lina,Björk,female,1990
2896,Sandra,Martinsson,female,1953
2897,Mikael,Jonsson,male,2016
2898,Nathalie,Andersson,female,1953
2899,Albin,Gunnarsson,male,1980
2900,Astrid,Gustafsson,female,2019
2901,Isak,Wikström,male,1956
2902,Göran,Åkesson,male,2005
2903,Alexandra,Löfgren,female,1983
2904,Siv,Jakobsson,female,1957
2905,Patrik,Lind,male,1977
2906,Marcus,Persson,male,1967
2907,Lisbeth,Arvidsson,female,1962
2908,Håkan,Gunnarsson,male,1962
2909,Maja,Lundgren,female,1987
2910,Sonja,Lundgren,female,1998
2911,Henrik,Björk,male,1990
2912,Agneta,Sandström,female,2016
2913,Maja,Hedlund,female,1952
2914,Mats,Sundberg,male,2003
2915,David,Claesson,male,1966
2916,Ann,Norberg,female,1964
2917,Linus,Lundqvist,male,1960
2918,Martin,Andersson,male,1962
2919,Albin,Åberg,male,2003
2920,Johan,Dahl,male,1987
2921,Rebecca,Gustafsson,female,2006
2922,Helen,Jansson,female,1982
2923,Thomas,Fransson,male,2011
2924,Rut,Jansson,female,2003
2925,Leif,Lundqvist,male,2019
2926,Anneli,Norberg,female,1962
2927,Lisa,Lindqvist,female,1951
2928,Ingrid,Lindholm,female,1970
2929,Katarina,Björklund,female,1987
2930,Lisbeth,Bergman,female,2016
2931,Olle,Berggren,male,1962
2932,Alva,Fredriksson,female,1976
2933,Emil,Henriksson,male,1963
2934,Adam,Lind,male,2014
2935,Wilma,Axelsson,female,1960
2936,Isak,Lundström,male,1959
2937,Mona,Lindqvist,female,1962
2938,Axel,Danielsson,male,1980
2939,Christian,Fransson,male,1980
2940,David,Åberg,male,1965
2941,Kenneth,Andersson,male,1999
2942,Leo,Persson,male,1975
2943,Sofia,Ström,female,1974
2944,Kjell,Sundberg,male,2014
2945,Mikael,Karlsson,male,1997
2946,Ludvig,Lundgren,male,2010
2947,Leo,Falk,male,1970
2948,Jakob,Andersson,male,2011
2949,Linnéa,Bergqvist,female,1959
2950,Marcus,Norberg,male,1973
2951,Ann,Ali,female,1993
2952,Viktoria,Lind,female,1987
2953,Joakim,Arvidsson,male,2009
2954,Josef,Hermansson,male,1996
2955,Tommy,Åberg,male,1970
2956,Pia,Blom,female,2005
2957,Mikael,Jansson,male,1971
2958,Gunilla,Strömberg,female,2018
2959,Bengt,Bergström,male,1996
2960,Ulla,Nyberg,female,1997
2961,Jesper,Henriksson,male,1974
2962,Nina,Ahmed,female,2007
2963,Josefin,Björk,female,1951
2964,Lisbeth,Håkansson,female,1958
2965,Henrik,Blomqvist,male,2012
2966,Patrik,Nordin,male,1992
2967,Olle,Bergström,male,1954
2968,Frida,Lindgren,female,1965
2969,Andreas,Lindqvist,male,1970
2970,Sebastian,Gustafsson,male,1977
2971,Marcus,Sandberg,male,1984
2972,Kenneth,Axelsson,male,2009
2973,Göran,Blom,male,1984
2974,Viktoria,Nyström,female,2002
2975,Alice,Wallin,female,1970
2976,Matilda,Ahmed,female,2016
2977,Åsa,Sjögren,female,1953
2978,Agnes,Lindström,female,2001
2979,Pernilla,Wikström,female,1973
2980,Ulrika,Andreasson,female,1952
2981,Julia,Lindgren,female,1966
2982,Wilma,Isaksson,female,2015
2983,Hanna,Dahlberg,female,1953
2984,Jan,Jakobsson,male,1963
2985,Lucas,Bergman,male,1971
2986,Ali,Martinsson,male,1990
2987,Jörgen,Jonsson,male,1990
2988,Viktoria,Dahlberg,female,1980
2989,Magnus,Mohamed,male,1979
2990,Anna,Pettersson,female,1998
2991,Albin,Hassan,male,2009
2992,Thomas,Abrahamsson,male,1983
2993,Åke,Isaksson,male,2007
2994,Stefan,Lundin,male,1961
2995,Birgit,Strömberg,female,1971
2996,Lina,Månsson,female,1954
2997,Ellen,Bengtsson,female,1966
2998,Lina,Hansen,female,1950
2999,Åke,Olofsson,male,1967
3000,Sebastian,Sandström,male,2010
3001,Jimmy,Gunnarsson,male,1970
3002,Matilda,Sandström,female,1970
3003,Alice,Håkansson,female,1953
3004,Charlotte,Nordin,female,1987
3005,Erik,Karlsson,male,1980
3006,Elin,Olofsson,female,2015
3007,Peter,Henriksson,male,1979
3008,Pia,Lindholm,female,1988
3009,Gun,Hassan,female,2008
3010,Björn,Forsberg,male,1964
3011,Isak,Axelsson,male,1973
3012,Dan,Wallin,male,1952
3013,Johan,Åberg,male,2019
3014,Lucas,Olofsson,male,1990
3015,Elisabeth,Nyström,female,1993
3016,Torbjörn,Danielsson,male,1983
3017,Lisbeth,Sundberg,female,1955
3018,Albin,Viklund,male,1985
3019,Alexandra,Hermansson,female,1974
3020,Karin,Lund,female,2002
3021,Stig,Isaksson,male,1993
